District,First Name,Last Name,Party,Leadership,Committee,Chair,Vice Chair
1,Megan,Dahle,R,Minority Leader,app,,app
2,Mike,McGuire,D,,anr,,
3,Christopher,Cabaldon,D,,lgl,,
4,Marie,Alvarado-Gil,R,,anr,,anr
5,Jerry,McNerney,D,,blh,,
6,Roger,Niello,R,,anr,,
7,Jesse,Arreguin,D,,app,,
8,Angelique,Ashby,D,,lgl,,
9,Tim,Grayson,D,,blh,,
10,Aisha,Wahab,D,,lgl,,
11,Scott,Wiener,D,,lgl,,
12,Shannon,Grove,R,,app,,
13,Josh,Becker,D,,blh,,
14,Anna,Caballero,D,,app,,
15,Dave,Cortese,D,,blh,,
16,Melissa,Hurtado,D,,anr,,
17,John,Laird,D,,app,,
18,Steve,Padilla,D,,anr,anr,
19,Rosilicie,Ochoa Bogh,R,,anr,,
20,Caroline,Menjivar,D,,lgl,lgl,
21,Monique,Limon,D,,blh,,
22,Susan,Rubio,D,,app,,
23,Suzette Martinez,Valladares,R,,blh,,blh
24,Benjamin,Allen,D,Majority Leader,app,app,
25,Sasha Renee,Perez,D,Pro Tem,app,,
26,Maria Elena,Durazo,D,,blh,,
27,Henry,Stern,D,,anr,,
28,Lola,Smallwood-Cuevas,D,,lgl,,
29,Eloise Gomez,Reyes,D,,app,,
30,Bob,Archuleta,D,,lgl,,
31,Sabrina,Cervantes,D,,lgl,,
32,Kelly,Seyarto,R,,blh,,
33,Lena,Gonzalez,D,,blh,,
34,Thomas,Umberg,D,,blh,blh,
35,Laura,Richardson,D,Majority Whip,lgl,,
36,Tony,Strickland,R,,lgl,,
37,Steve,Choi,R,Minority Whip,lgl,,lgl
38,Catherine,Blakespear,D,,lgl,,
39,Akilah,Weber Pierson,D,,blh,,
40,Brian W,Jones,R,,lgl,,
